"Community","Conductance"
1,0.82156676168438
2,0.777933238079697
3,0.823332829147696
4,0.789224628090844
5,0.84282782051046
6,0.836396913298573
7,0.812514882134093
8,0.830420843739337
9,0.823660093838835
10,0.749603644649036
11,0.821518558621653
12,0.807104817500957
13,0.814706816236606
14,0.777930703140378
15,0.758733633928371
16,0.810764252017112
17,0.786797255451281
18,0.839532442189107
19,0.755698961198052
20,0.805338238962108
21,0.777899614139235
22,0.835879950112938
23,0.833841018045114
