node,cluster_id
1,11
2,3
3,8
4,16
5,10
6,7
7,6
8,18
9,2
10,16
11,19
12,20
13,2
14,14
15,10
16,10
17,14
18,18
19,7
20,1
21,3
22,10
23,6
24,7
25,18
26,16
27,9
28,7
29,15
30,6
31,20
32,9
33,16
34,11
35,13
36,16
37,2
38,9
39,20
40,11
41,11
42,17
43,2
44,14
45,9
46,17
47,17
48,15
49,16
50,14
51,3
52,4
53,7
54,17
55,13
56,7
57,1
58,14
59,16
60,9
61,15
62,3
63,20
64,18
65,11
66,12
67,14
68,10
69,6
70,7
71,11
72,14
73,18
74,12
75,4
76,17
77,11
78,18
79,10
80,17
81,3
82,15
83,15
84,6
85,10
86,17
87,10
88,13
89,12
90,4
91,18
92,2
93,10
94,17
95,2
96,2
97,2
98,12
99,16
100,5
101,19
102,7
103,10
104,10
105,12
106,20
107,12
108,17
109,15
110,17
111,7
112,1
113,17
114,13
115,8
116,4
117,10
118,4
119,12
120,20
121,3
122,15
123,12
124,11
125,20
126,16
127,7
128,17
129,18
130,14
131,18
132,13
133,6
134,12
135,16
136,4
137,1
138,2
139,16
140,15
141,2
142,5
143,20
144,7
145,20
146,20
147,12
148,7
149,20
150,18
151,16
152,16
153,2
154,2
155,6
156,16
157,3
158,11
159,6
160,19
161,6
162,4
163,17
164,12
165,1
166,6
167,15
168,17
169,9
170,5
171,7
172,9
173,7
174,18
175,6
176,12
177,20
178,18
179,14
180,20
181,13
182,16
183,3
184,3
185,12
186,8
187,16
188,15
189,14
190,15
191,6
192,9
193,7
194,1
195,8
196,11
197,14
198,12
199,18
200,7
201,5
202,16
203,11
204,11
205,1
206,5
207,3
208,2
209,6
210,3
211,15
212,16
213,9
214,12
215,1
216,9
217,5
218,3
219,10
220,16
221,14
222,6
223,20
224,17
225,16
226,9
227,19
228,6
229,20
230,2
231,16
232,20
233,12
234,7
235,2
236,19
237,1
238,17
239,16
240,3
241,4
242,14
243,7
244,19
245,20
246,20
247,8
248,19
249,15
250,7
251,10
252,11
253,10
254,2
255,4
256,17
257,16
258,7
259,16
260,2
261,19
262,11
263,12
264,11
265,12
266,10
267,20
268,19
269,6
270,16
271,14
272,10
273,9
274,11
275,16
276,19
277,11
278,1
279,11
280,16
281,5
282,4
283,9
284,17
285,9
286,8
287,14
288,8
289,14
290,11
291,12
292,9
293,1
294,19
295,16
296,20
297,4
298,17
299,4
300,6
301,16
302,12
303,9
304,5
305,15
306,18
307,6
308,19
309,12
310,6
311,18
312,3
313,17
314,16
315,10
316,7
317,16
318,12
319,3
320,7
321,16
322,15
323,8
324,18
325,10
326,13
327,9
328,2
329,6
330,14
331,16
332,9
333,14
334,12
335,18
336,17
337,4
338,15
339,9
340,13
341,2
342,6
343,10
344,18
345,19
346,13
347,6
348,15
349,11
350,10
351,9
352,11
353,16
354,10
355,12
356,20
357,13
358,7
359,4
360,14
361,1
362,12
363,15
364,5
365,15
366,20
367,2
368,9
369,1
370,13
371,16
372,17
373,14
374,14
375,6
376,14
377,20
378,1
379,15
380,15
381,18
382,8
383,17
384,3
385,5
386,1
387,14
388,18
389,15
390,10
391,15
392,18
393,4
394,20
395,5
396,12
397,12
398,15
399,20
400,8
401,2
402,5
403,19
404,15
405,10
406,10
407,12
408,2
409,16
410,16
411,8
412,10
413,7
414,12
415,1
416,16
417,2
418,7
419,20
420,18
421,18
422,9
423,20
424,14
425,13
426,15
427,12
428,5
429,10
430,12
431,8
432,10
433,8
434,12
435,15
436,14
437,18
438,15
439,16
440,2
441,15
442,4
443,17
444,9
445,6
446,20
447,4
448,18
449,7
450,4
451,9
452,20
453,9
454,18
455,14
456,17
457,17
458,6
459,2
460,7
461,8
462,14
463,4
464,4
465,19
466,14
467,16
468,10
469,12
470,12
471,11
472,14
473,6
474,9
475,8
476,7
477,3
478,20
479,2
480,10
481,18
482,2
483,12
484,20
485,3
486,9
487,17
488,4
489,10
490,18
491,16
492,19
493,8
494,9
495,15
496,15
497,18
498,8
499,5
500,10
